Actual Spending,Purchase Frequency,Frequency,Value,RFM_Segment_Label
697.0,3,4,4,Low_Value
635.0,1,1,4,Low_Value
210.0,1,1,2,Low_Value
195.0,1,1,1,Low_Value
298.0,2,4,2,Low_Value
249.0,1,1,2,Low_Value
260.0,1,1,2,Low_Value
179.0,1,1,1,Low_Value
698.0,2,4,4,Low_Value
165.0,1,1,1,Low_Value
287.0,1,1,2,Low_Value
249.0,1,1,2,Low_Value
149.0,1,1,1,Low_Value
299.0,1,1,2,Low_Value
599.0,1,1,4,Low_Value
299.0,1,1,2,Low_Value
600.0,1,1,4,Low_Value
349.0,1,1,3,Low_Value
358.0,2,4,3,Low_Value
149.0,1,1,1,Low_Value
699.0,1,1,4,Low_Value
535.0,1,1,4,Low_Value
600.0,1,1,4,Low_Value
199.0,1,1,1,Low_Value
299.0,1,1,2,Low_Value
120.0,1,1,1,Low_Value
426.0,1,1,3,Low_Value
125.0,1,1,1,Low_Value
116.0,1,1,1,Low_Value
349.0,1,1,3,Low_Value
399.0,1,1,3,Low_Value
397.0,1,1,3,Low_Value
499.0,1,1,4,Low_Value
197.0,1,1,1,Low_Value
299.0,1,1,2,Low_Value
299.0,1,1,2,Low_Value
538.0,2,4,4,Low_Value
378.0,1,1,3,Low_Value
295.0,1,1,2,Low_Value
610.0,1,1,4,Low_Value
425.0,1,1,3,Low_Value
488.0,2,4,4,Low_Value
210.0,1,1,2,Low_Value
599.0,1,1,4,Low_Value
249.0,1,1,2,Low_Value
299.0,1,1,2,Low_Value
245.0,1,1,2,Low_Value
239.0,1,1,2,Low_Value
114.0,1,1,1,Low_Value
299.0,1,1,2,Low_Value
217.0,1,1,2,Low_Value
137.0,1,1,1,Low_Value
717.0,1,1,4,Low_Value
320.0,1,1,3,Low_Value
455.0,1,1,3,Low_Value
375.0,1,1,3,Low_Value
499.0,1,1,4,Low_Value
279.0,1,1,2,Low_Value
1047.0,3,4,4,Low_Value
395.0,1,1,3,Low_Value
269.0,1,1,2,Low_Value
349.0,1,1,3,Low_Value
499.0,1,1,4,Low_Value
499.0,1,1,4,Low_Value
349.0,1,1,3,Low_Value
398.0,2,4,3,Low_Value
865.0,5,4,4,Mid_Value
1050.0,3,4,4,Low_Value
235.0,1,1,2,Low_Value
85.0,1,1,1,Low_Value
499.0,1,1,4,Low_Value
368.0,1,1,3,Low_Value
777.0,3,4,4,Low_Value
390.0,1,1,3,Low_Value
599.0,1,1,4,Low_Value
130.0,1,1,1,Low_Value
229.0,1,1,2,Low_Value
209.0,1,1,2,Low_Value
199.0,1,1,1,Low_Value
159.0,1,1,1,Low_Value
119.0,1,1,1,Low_Value
299.0,1,1,2,Low_Value
462.0,3,4,3,Low_Value
251.0,1,1,2,Low_Value
337.0,1,1,3,Low_Value
299.0,1,1,2,Low_Value
213.0,1,1,2,Low_Value
439.0,1,1,3,Low_Value
467.0,1,1,3,Low_Value
299.0,1,1,2,Low_Value
225.0,1,1,2,Low_Value
678.0,2,4,4,Low_Value
349.0,1,1,3,Low_Value
228.0,1,1,2,Low_Value
399.0,1,1,3,Low_Value
345.0,1,1,3,Low_Value
149.0,1,1,1,Low_Value
289.0,1,1,2,Low_Value
299.0,1,1,2,Low_Value
249.0,1,1,2,Low_Value
649.0,1,1,4,Low_Value
67.0,1,1,1,Low_Value
649.0,1,1,4,Low_Value
199.0,1,1,1,Low_Value
399.0,1,1,3,Low_Value
449.0,1,1,3,Low_Value
699.0,1,1,4,Low_Value
828.0,1,1,4,Low_Value
199.0,1,1,1,Low_Value
249.0,1,1,2,Low_Value
698.0,1,1,4,Low_Value
598.0,2,4,4,Low_Value
522.0,1,1,4,Low_Value
299.0,1,1,2,Low_Value
398.0,2,4,3,Low_Value
825.0,1,1,4,Low_Value
549.0,1,1,4,Low_Value
599.0,1,1,4,Low_Value
398.0,2,4,3,Low_Value
299.0,1,1,2,Low_Value
597.0,3,4,4,Low_Value
499.0,1,1,4,Low_Value
335.0,1,1,3,Low_Value
970.89,10,4,4,High-Value
379.0,1,1,3,Low_Value
596.0,1,1,4,Low_Value
329.0,1,1,3,Low_Value
499.0,1,1,4,Low_Value
399.0,1,1,3,Low_Value
798.0,2,4,4,Low_Value
149.0,1,1,1,Low_Value
247.0,1,1,2,Low_Value
429.0,1,1,3,Low_Value
249.0,1,1,2,Low_Value
205.0,1,1,2,Low_Value
246.0,1,1,2,Low_Value
79.0,1,1,1,Low_Value
349.0,1,1,3,Low_Value
849.0,1,1,4,Low_Value
249.0,1,1,2,Low_Value
349.0,1,1,3,Low_Value
449.0,1,1,3,Low_Value
425.0,1,1,3,Low_Value
299.0,1,1,2,Low_Value
599.0,1,1,4,Low_Value
478.0,1,1,3,Low_Value
254.0,1,1,2,Low_Value
149.0,1,1,1,Low_Value
215.0,1,1,2,Low_Value
599.0,1,1,4,Low_Value
